name,type,min,max
kOsc1Wave,enum,0,5
kOsc1Coarse,int,-24,24
kOsc1Fine,double,-1.000000,1.000000
kOsc1Split,double,-0.025000,0.025000
kOsc2Wave,enum,0,5
kOsc2Coarse,int,-24,24
kOsc2Fine,double,-1.000000,1.000000
kOsc2Split,double,-0.025000,0.025000
kOscMix,double,0.000000,1.000000
kFmMode,enum,0,2
kFmCoarse,int,0,48
kFmFine,double,-1.000000,1.000000
kFilterEnabled,boolean,0,1
kFilterCutoff,double,20.000000,8000.000000
kFilterResonance,double,0.000000,1.000000
kFilterKeyTrack,double,-1.000000,1.000000
kVolEnvA,double,0.500000,1000.000000
kVolEnvD,double,0.500000,1000.000000
kVolEnvS,double,0.000000,1.000000
kVolEnvR,double,0.500000,1000.000000
kVolEnvV,double,0.000000,1.000000
kModEnvA,double,0.500000,1000.000000
kModEnvD,double,0.500000,1000.000000
kModEnvS,double,0.000000,1.000000
kModEnvR,double,0.500000,1000.000000
kModEnvV,double,0.000000,1.000000
kLfoAmount,double,-0.100000,0.100000
kLfoFrequency,double,0.100000,10.000000
kLfoDelay,double,0.100000,1000.000000
kVolEnvFm,double,-24.000000,24.000000
kVolEnvCutoff,double,-8000.000000,8000.000000
kModEnvFm,double,-24.000000,24.000000
kModEnvCutoff,double,-8000.000000,8000.000000
kLfoFm,double,-24.000000,24.000000
kLfoCutoff,double,-8000.000000,8000.000000
kVoiceMode,enum,0,2
kGlideSpeed,double,1.000000,1000.000000
kMasterVolume,double,0.000000,0.500000
