kOsc1Wave,kOsc1Coarse,kOsc1Fine,kOsc1Split,kOsc2Wave,kOsc2Coarse,kOsc2Fine,kOsc2Split,kOscMix,kFmMode,kFmCoarse,kFmFine,kFilterEnabled,kFilterCutoff,kFilterResonance,kFilterKeyTrack,kVolEnvA,kVolEnvD,kVolEnvS,kVolEnvR,kVolEnvV,kModEnvA,kModEnvD,kModEnvS,kModEnvR,kModEnvV,kLfoAmount,kLfoFrequency,kLfoDelay,kVolEnvFm,kVolEnvCutoff,kModEnvFm,kModEnvCutoff,kLfoFm,kLfoCutoff,kVoiceMode,kGlideSpeed,kMasterVolume
2,12,0.974854,0.019323,4,12,0.337555,0.022182,0.578171,1,26,-0.545624,false,6752.029114,0.566132,-0.354797,991.860851,984.137650,0.547668,979.387482,0.249817,993.124911,973.989048,0.185928,977.366857,0.732208,0.022311,8.170910,997.624153,-11.695313,-5602.294922,-12.296631,-2372.314453,17.394287,-1222.412109,1,832.253396,0.132446
3,-16,-0.471649,-0.020982,2,-16,-0.230682,-0.018150,0.495682,1,4,-0.890076,true,2238.926086,0.229324,-0.536316,998.106519,972.093384,0.682144,986.426438,0.679718,960.618720,993.054446,0.930893,953.354641,0.115707,-0.020395,1.783600,999.625813,-10.504395,1161.132813,-18.513428,4917.480469,-12.090820,5596.435547,1,951.544195,0.153519
4,-11,0.139038,0.020226,2,-11,0.430511,-0.020485,0.130554,1,43,0.548859,false,6724.023132,0.588989,-0.044952,988.992115,972.713753,0.629929,971.737662,0.470200,996.619825,989.656889,0.563721,993.908717,0.809830,-0.095477,7.701910,998.852214,12.155273,-4942.138672,-4.747559,-374.267578,16.708740,-3963.867188,0,988.441009,0.494286
1,-12,0.811096,0.005520,4,-12,-0.930542,0.011353,0.836121,2,47,0.669434,false,1603.433838,0.426514,0.909943,984.258323,968.710933,0.719864,955.679694,0.872711,982.394520,957.737326,0.050186,963.518603,0.467392,-0.054556,5.564556,999.912640,-20.794189,-7425.781250,-13.878662,-4644.531250,-2.014893,-1764.648438,2,834.700065,0.034424
5,-7,0.211853,-0.015039,1,-7,-0.321472,-0.022079,0.721893,0,23,0.746796,false,1915.152588,0.210312,0.684631,990.733752,995.650006,0.856369,996.325730,0.845108,976.544955,998.357766,0.563278,991.647013,0.908493,-0.086960,0.173634,997.742965,6.673096,-5156.738281,8.518799,5627.197266,3.295898,7646.484375,1,921.798880,0.231087
2,1,-0.037506,-0.013579,3,1,-0.261810,-0.001675,0.708267,2,13,0.521484,false,3917.580261,0.203659,0.481903,993.863671,992.900345,0.663361,997.537796,0.716690,996.138412,992.614786,0.135208,964.903117,0.501740,0.073199,8.456550,999.178681,-20.175293,-750.976563,-3.930908,-5723.876953,2.412598,-4202.148438,1,948.063028,0.013985
4,1,0.057037,-0.010115,1,1,-0.969299,0.011142,0.901978,1,36,-0.304535,false,2302.974548,0.375107,-0.132904,908.011277,995.322945,0.439651,990.925472,0.947906,965.102130,991.385979,0.638336,986.534089,0.403244,0.027261,3.637475,999.385407,21.917725,6475.585938,-21.298828,-682.373047,17.748779,-5272.949219,0,982.151500,0.466240
1,-18,0.288147,-0.003242,4,-18,0.145416,-0.003355,0.564896,1,7,0.626129,true,7851.324768,0.357224,-0.253113,948.551813,973.897181,0.968048,999.619726,0.182556,993.423584,938.030244,0.775406,981.047599,0.370956,0.051392,0.120995,999.926332,23.504883,-6874.267578,-7.688232,-5261.718750,12.737549,-3782.958984,1,947.459915,0.188766
4,-23,-0.824921,0.011674,3,-23,0.251984,0.017853,0.599808,1,7,0.598663,false,2701.146545,0.603836,-0.860626,952.945523,936.664038,0.796356,993.850579,0.497787,931.251865,938.465885,0.208374,995.572147,0.413818,-0.030057,0.100872,996.472142,-19.789307,-4916.259766,-19.274414,-1944.091797,-22.786377,-4964.843750,1,899.508095,0.220551
1,2,0.682190,0.010120,2,2,0.850433,-0.005780,0.613495,1,42,0.388977,true,4401.596680,0.637619,0.376282,968.364507,988.303402,0.308334,961.644786,0.208237,975.989180,995.191674,0.932098,984.706819,0.650742,-0.012827,0.168716,996.840843,-11.632324,4039.062500,-17.589844,6691.406250,-14.296875,7.812500,0,752.679635,0.450912
2,-5,0.953125,0.017763,0,-5,-0.553253,0.014277,0.403824,0,17,-0.806152,true,7320.063477,0.656158,-0.679413,979.218472,987.702561,0.206360,999.150695,0.093231,995.730331,996.162345,0.959061,970.433191,0.894791,-0.074268,0.148690,998.034814,-21.073975,1359.619141,-8.580322,-684.326172,-22.723389,2450.927734,1,834.653469,0.282379
3,15,0.840302,0.008092,0,15,-0.632568,-0.018159,0.462112,1,23,0.887695,false,5449.385681,0.107224,0.337860,990.341459,970.050244,0.339264,919.877669,0.743820,994.535849,995.068511,0.442383,949.557820,0.163193,-0.012857,2.004981,999.939870,3.829102,-7264.648438,-9.509766,-4937.744141,17.605957,364.013672,0,998.781473,0.013130
0,-19,-0.891205,-0.007329,4,-19,-0.388672,-0.017961,0.215805,1,10,0.362671,false,2124.223328,0.713028,0.782898,965.712063,988.224230,0.093124,994.212260,0.104202,976.813044,915.364488,0.271713,956.832694,0.458069,0.079773,4.223380,999.911274,-8.548828,4142.333984,12.783691,-4722.412109,-19.151367,5314.941406,1,911.793328,0.327271
1,-23,-0.755127,-0.019285,2,-23,-0.256073,0.004027,0.828491,2,33,0.165894,true,405.143127,0.936218,-0.054901,926.270177,990.294085,0.361237,976.049146,0.336472,956.155758,968.221076,0.600479,972.932736,0.680527,0.079489,9.966493,999.863558,13.620117,4032.958984,-2.714355,-2305.908203,-1.110352,534.667969,1,991.415036,0.475174
1,-15,0.589325,-0.017046,5,-15,0.338623,0.003464,0.871201,0,40,-0.963867,true,4215.661316,0.548950,-0.823730,993.230492,986.407584,0.934967,984.756858,0.164734,997.967377,980.782348,0.999008,987.359154,0.726593,-0.082309,3.667155,997.527275,-2.939209,3183.837891,10.962891,-4194.580078,-2.304932,-1907.226563,0,948.021120,0.370636
1,-15,-0.074127,0.009611,3,-15,-0.714142,0.010583,0.004730,1,27,-0.516815,false,1356.250610,0.980576,-0.352203,997.024323,981.944455,0.293976,986.226132,0.490128,998.380116,959.578559,0.246170,942.328787,0.796204,0.078809,4.759378,999.092781,-12.243896,-3049.560547,-19.522705,-794.189453,-8.403809,6346.191406,2,931.016839,0.452408
1,19,-0.361023,0.018694,4,19,-0.543121,-0.011302,0.909943,1,17,-0.085968,true,2069.794312,0.606125,0.480652,977.070753,932.197065,0.942444,978.179783,0.687744,999.824393,953.954553,0.157486,993.048941,0.373779,0.040448,2.051246,998.961851,8.742920,-2802.001953,-7.712402,2098.632813,0.898682,-7997.802734,1,858.940506,0.222679
1,3,-0.480530,-0.013125,1,3,-0.741699,-0.019431,0.329895,1,36,-0.696289,false,7233.366699,0.166168,0.895111,950.496255,971.354279,0.188324,997.768886,0.046356,969.614322,940.336289,0.400482,974.837081,0.672791,0.099280,5.015888,998.894467,-9.585938,2697.998047,23.820557,3595.458984,-6.202881,2074.462891,1,683.093841,0.064369
